CreateMeshBuilder,
Addvertex,60,7,0,
Addvertex,-72,7,0,
Addvertex,-72,8,0,
Addvertex,60,8,0,
Addface2,0,1,2,3,

GenerateNormals,

LoadTexture,concrete.bmp,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,4,0,
SetTextureCoordinates,2,0,2,
SetTextureCoordinates,3,4,2,

CreateMeshBuilder,
Addvertex,60,7,0,
Addvertex,-72,7,0,
Addvertex,-72,7,5,
Addvertex,50,7,5,
Addface2,0,1,2,3,

GenerateNormals,

LoadTexture,concretemedium.bmp,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,4,0,
SetTextureCoordinates,2,0,2,
SetTextureCoordinates,3,4,2,

;support 1 right

CreateMeshBuilder,
Addvertex,4,5,0,
Addvertex,4,7,0,
Addvertex,5,7,0,
Addvertex,5,5,0,
Addface2,0,1,2,3,

GenerateNormals,

LoadTexture,concrete.bmp,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,4,0,
SetTextureCoordinates,2,0,2,
SetTextureCoordinates,3,4,2,

CreateMeshBuilder,
Addvertex,4,5,0,
Addvertex,4,7,0,
Addvertex,4,7,5,
Addvertex,4,5,5,
Addface2,0,1,2,3,

GenerateNormals,

LoadTexture,concretemedium.bmp,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,4,0,
SetTextureCoordinates,2,0,2,
SetTextureCoordinates,3,4,2,

CreateMeshBuilder,
Addvertex,4,5,0,
Addvertex,4,5,5,
Addvertex,5,5,5,
Addvertex,5,5,0,
Addface2,0,1,2,3,

GenerateNormals,

LoadTexture,concretemedium.bmp,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,4,0,
SetTextureCoordinates,2,0,2,
SetTextureCoordinates,3,4,2,

;support 1 left

CreateMeshBuilder,
Addvertex,-17,5,0,
Addvertex,-17,7,0,
Addvertex,-16,7,0,
Addvertex,-16,5,0,
Addface2,0,1,2,3,

GenerateNormals,

LoadTexture,concrete.bmp,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,4,0,
SetTextureCoordinates,2,0,2,
SetTextureCoordinates,3,4,2,

CreateMeshBuilder,
Addvertex,-16,5,0,
Addvertex,-16,7,0,
Addvertex,-16,7,5,
Addvertex,-16,5,5,
Addface2,0,1,2,3,

GenerateNormals,

LoadTexture,concretemedium.bmp,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,4,0,
SetTextureCoordinates,2,0,2,
SetTextureCoordinates,3,4,2,

CreateMeshBuilder,
Addvertex,-17,5,0,
Addvertex,-17,5,5,
Addvertex,-16,5,5,
Addvertex,-16,5,0,
Addface2,0,1,2,3,

GenerateNormals,

LoadTexture,concretemedium.bmp,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,4,0,
SetTextureCoordinates,2,0,2,
SetTextureCoordinates,3,4,2,

;pillars right
;pillar 1

CreateMeshBuilder,
Addvertex,4.125,0,0,
Addvertex,4.125,5,0,
Addvertex,4.875,5,0,
Addvertex,4.875,0,0,
Addface2,0,1,2,3,

GenerateNormals,

LoadTexture,concrete.bmp,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,4,0,
SetTextureCoordinates,2,0,2,
SetTextureCoordinates,3,4,2,

CreateMeshBuilder,
Addvertex,4.125,0,0,
Addvertex,4.125,5,0,
Addvertex,4.125,5,.75,
Addvertex,4.125,0,.75,
Addface2,0,1,2,3,

GenerateNormals,

LoadTexture,concretemedium.bmp,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,4,0,
SetTextureCoordinates,2,0,2,
SetTextureCoordinates,3,4,2,

;pillar 2

CreateMeshBuilder,
Addvertex,4.125,0,2.125,
Addvertex,4.125,5,2.125,
Addvertex,4.875,5,2.125,
Addvertex,4.875,0,2.125,
Addface2,0,1,2,3,

GenerateNormals,

LoadTexture,concretemedium.bmp,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,4,0,
SetTextureCoordinates,2,0,2,
SetTextureCoordinates,3,4,2,

CreateMeshBuilder,
Addvertex,4.125,0,2.125,
Addvertex,4.125,5,2.125,
