CreateMeshBuilder,
Addvertex,0,0,0,
Addvertex,0,2,0,
Addvertex,.1,2,0,
Addvertex,.1,0,0,
Addface2,0,1,2,3,
SetColor,80,80,80,

GenerateNormals,

CreateMeshBuilder,
Addvertex,0,0,0,
Addvertex,0,2,0,
Addvertex,0,2,0.2,
Addvertex,0,0,0.2,
Addface2,0,1,2,3,
SetColor,80,80,80,

GenerateNormals,

CreateMeshBuilder,
Addvertex,-.1,1.4,-.1,
Addvertex,-.1,1.9,-.1,
Addvertex,.2,1.9,-.1,
Addvertex,.2,1.4,-.1,
Addface,0,1,2,3,

GenerateNormals,

LoadTexture,signallenspeed.bmp,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetTextureCoordinates,0,0,1,
